year ,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
2021,Delhi Capitals,Royal Challengers Bangalore,164,166,Royal Challengers Bangalore,Field,RCB,7 wickets,Srikar Bharat,Dubai International Cricket Stadium,
2021,Mumbai Indians,Sunrisers Hyderabad,235,193,Mumbai Indians,Bat,Mumbai,42 runs,Ishan Kishan,Zayed Cricket Stadium,Abu Dhabi
2021,Delhi Capitals,Chennai Super Kings,172,173,Chennai Super Kings,Field,Super,4 wickets,Ruturaj Gaikwad,Dubai International Cricket Stadium,
2021,Royal Challengers Bangalore,Kolkata Knight Riders,138,139,Royal Challengers Bangalore,Bat,KKR,4 wickets,Sunil Narine,Sharjah Cricket Stadium,
2021,Delhi Capitals,Kolkata Knight Riders,135,136,Kolkata Knight Riders,Field,KKR,3 wickets,Venkatesh Iyer,Sharjah Cricket Stadium,
2021,Chennai Super Kings,Kolkata Knight Riders,192,165,Kolkata Knight Riders,Field,Super,27 runs,Faf du Plessis,Dubai International Cricket Stadium,
2020,Mumbai Indians,Chennai Super Kings,162,166,Chennai Super Kings,Field,Super,5 wickets,Ambati Rayudu,Zayed Cricket Stadium,Abu Dhabi
2020,Delhi Capitals,Kings XI Punjab,157,157,Kings XI Punjab,Field,Tied,Tied,Marcus Stoinis,Dubai International Cricket Stadium,
2020,Royal Challengers Bangalore,Sunrisers Hyderabad,163,153,Sunrisers Hyderabad,Field,RCB,10 runs,Yuzvendra Chahal,Dubai International Cricket Stadium,
2020,Rajasthan Royals,Chennai Super Kings,216,200,Chennai Super Kings,Field,Royals,16 runs,Sanju Samson,Sharjah Cricket Stadium,
2020,Mumbai Indians,Kolkata Knight Riders,195,146,Kolkata Knight Riders,Field,Mumbai,49 runs,Rohit Sharma,Zayed Cricket Stadium,Abu Dhabi
2020,Kings XI Punjab,Royal Challengers Bangalore,206,109,Royal Challengers Bangalore,Field,Kings,97 runs,KL Rahul,Dubai International Cricket Stadium,
2020,Delhi Capitals,Chennai Super Kings,175,131,Chennai Super Kings,Field,Capitals,44 runs,Prithvi Shaw,Dubai International Cricket Stadium,
2020,Sunrisers Hyderabad,Kolkata Knight Riders,142,145,Sunrisers Hyderabad,Bat,KKR,7 wickets,Shubman Gill,Zayed Cricket Stadium,Abu Dhabi
2020,Kings XI Punjab,Rajasthan Royals,223,226,Rajasthan Royals,Field,Royals,4 wickets,Sanju Samson,Sharjah Cricket Stadium,
2020,Royal Challengers Bangalore,Mumbai Indians,201,201,Mumbai Indians,Field,Tied,Tied,AB de Villiers,Dubai International Cricket Stadium,
2020,Sunrisers Hyderabad,Delhi Capitals,162,147,Delhi Capitals,Field,Sunrisers,15 runs,Rashid Khan,Zayed Cricket Stadium,Abu Dhabi
2020,Kolkata Knight Riders,Rajasthan Royals,174,137,Rajasthan Royals,Field,KKR,37 runs,Shivam Mavi,Dubai International Cricket Stadium,
2020,Mumbai Indians,Kings XI Punjab,191,143,Kings XI Punjab,Field,Mumbai,48 runs,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi
2020,Sunrisers Hyderabad,Chennai Super Kings,164,157,Sunrisers Hyderabad,Bat,Sunrisers,7 runs,Priyam Garg,Dubai International Cricket Stadium,
2020,Rajasthan Royals,Royal Challengers Bangalore,154,158,Rajasthan Royals,Bat,RCB,8 wickets,Yuzvendra Chahal,Zayed Cricket Stadium,Abu Dhabi
2020,Delhi Capitals,Kolkata Knight Riders,228,210,Kolkata Knight Riders,Field,Capitals,18 runs,Shreyas Iyer,Sharjah Cricket Stadium,
2020,Mumbai Indians,Sunrisers Hyderabad,208,174,Mumbai Indians,Bat,Mumbai,34 runs,Trent Boult,Sharjah Cricket Stadium,
2020,Kings XI Punjab,Chennai Super Kings,178,181,Kings XI Punjab,Bat,Super,10 wickets,Shane Watson,Dubai International Cricket Stadium,
2020,Delhi Capitals,Royal Challengers Bangalore,196,137,Royal Challengers Bangalore,Field,Capitals,59 runs,Axar Patel,Dubai International Cricket Stadium,
2020,Mumbai Indians,Rajasthan Royals,193,136,Mumbai Indians,Bat,Mumbai,57 runs,Suryakumar Yadav,Zayed Cricket Stadium,Abu Dhabi
2020,Kolkata Knight Riders,Chennai Super Kings,167,157,Kolkata Knight Riders,Bat,KKR,10 runs,Rahul Tripathi,Zayed Cricket Stadium,Abu Dhabi
2020,Sunrisers Hyderabad,Kings XI Punjab,201,132,Sunrisers Hyderabad,Bat,Sunrisers,69 runs,Jonny Bairstow,Dubai International Cricket Stadium,
2020,Delhi Capitals,Rajasthan Royals,184,138,Rajasthan Royals,Field,Capitals,46 runs,Ravichandran Ashwin,Sharjah Cricket Stadium,
2020,Kolkata Knight Riders,Kings XI Punjab,164,162,Kolkata Knight Riders,Bat,KKR,2 runs,Dinesh Karthik,Zayed Cricket Stadium,Abu Dhabi
2020,Royal Challengers Bangalore,Chennai Super Kings,169,132,Royal Challengers Bangalore,Bat,RCB,37 runs,Virat Kohli,Dubai International Cricket Stadium,
2020,Sunrisers Hyderabad,Rajasthan Royals,158,163,Sunrisers Hyderabad,Bat,Royals,5 wickets,Rahul Tewatia,Dubai International Cricket Stadium,
2020,Delhi Capitals,Mumbai Indians,162,166,Delhi Capitals,Bat,Mumbai,5 wickets,Quinton de Kock,Zayed Cricket Stadium,Abu Dhabi
2020,Royal Challengers Bangalore,Kolkata Knight Riders,194,112,Royal Challengers Bangalore,Bat,RCB,82 runs,AB de Villiers,Sharjah Cricket Stadium,
2020,Chennai Super Kings,Sunrisers Hyderabad,167,147,Chennai Super Kings,Bat,Super,20 runs,Ravindra Jadeja,Dubai International Cricket Stadium,
2020,Delhi Capitals,Rajasthan Royals,161,148,Delhi Capitals,Bat,Capitals,13 runs,Anrich Nortje,Dubai International Cricket Stadium,
2020,Royal Challengers Bangalore,Kings XI Punjab,171,177,Royal Challengers Bangalore,Bat,Kings,8 wickets,KL Rahul,Sharjah Cricket Stadium,
2020,Kolkata Knight Riders,Mumbai Indians,148,149,Kolkata Knight Riders,Bat,Mumbai,8 wickets,Quinton de Kock,Zayed Cricket Stadium,Abu Dhabi
2020,Rajasthan Royals,Royal Challengers Bangalore,177,179,Rajasthan Royals,Bat,RCB,7 wickets,AB de Villiers,Dubai International Cricket Stadium,
2020,Chennai Super Kings,Delhi Capitals,179,185,Chennai Super Kings,Bat,Capitals,5 wickets,Shikhar Dhawan,Sharjah Cricket Stadium,
2020,Kolkata Knight Riders,Sunrisers Hyderabad,163,163,Sunrisers Hyderabad,Field,Tied,Tied,Lockie Ferguson,Zayed Cricket Stadium,Abu Dhabi
2020,Mumbai Indians,Kings XI Punjab,176,176,Mumbai Indians,Bat,Tied,Tied,KL Rahul,Dubai International Cricket Stadium,
2020,Chennai Super Kings,Rajasthan Royals,125,126,Chennai Super Kings,Bat,Royals,7 wickets,Jos Buttler,Zayed Cricket Stadium,Abu Dhabi
2020,Delhi Capitals,Kings XI Punjab,164,167,Delhi Capitals,Bat,Kings,5 wickets,Shikhar Dhawan,Dubai International Cricket Stadium,
2020,Kolkata Knight Riders,Royal Challengers Bangalore,84,85,Kolkata Knight Riders,Bat,RCB,8 wickets,Mohammed Siraj,Zayed Cricket Stadium,Abu Dhabi
2020,Rajasthan Royals,Sunrisers Hyderabad,154,156,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Manish Pandey,Dubai International Cricket Stadium,
2020,Chennai Super Kings,Mumbai Indians,114,116,Mumbai Indians,Field,Mumbai,10 wickets,Trent Boult,Sharjah Cricket Stadium,
2020,Kolkata Knight Riders,Delhi Capitals,194,135,Delhi Capitals,Field,KKR,59 runs,Varun Chakravarthy,Zayed Cricket Stadium,Abu Dhabi
2020,Kings XI Punjab,Sunrisers Hyderabad,126,114,Sunrisers Hyderabad,Field,Kings,12 runs,Chris Jordan,Dubai International Cricket Stadium,
2020,Royal Challengers Bangalore,Chennai Super Kings,145,150,Royal Challengers Bangalore,Bat,Super,8 wickets,Ruturaj Gaikwad,Dubai International Cricket Stadium,
2020,Mumbai Indians,Rajasthan Royals,195,196,Mumbai Indians,Bat,Royals,8 wickets,Ben Stokes,Zayed Cricket Stadium,Abu Dhabi
2020,Kolkata Knight Riders,Kings XI Punjab,149,150,Kings XI Punjab,Field,Kings,8 wickets,Chris Gayle,Sharjah Cricket Stadium,
2020,Sunrisers Hyderabad,Delhi Capitals,219,131,Delhi Capitals,Field,Sunrisers,88 runs,Wriddhiman Saha,Dubai International Cricket Stadium,
